startTime,activeRegionNum,instruments,cmeAnalyses,linkedEvents,note,N/S,E/W
2015-01-13 15:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"A faint but distinct halo-like CME. No clear source region - the CME had the shape and projection of an eruption that was far out of the plane of the sky. The assumption is that the source was from the far side, but there were no STEREO EUVI images to confirm this.",,
2015-01-13 18:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"These are very very approximate parameters. Location is based on SDO EUV reconfiguration seen in the northeastern quadrant around the time of the CME. Speed based on STEREO CAT with plane of sky adjustment. SWPC_CAT was not useful at all for this event. Anyhow, the event will most likely not have any space weather consequences.",,
2015-01-14 16:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,Parameters are very rough since CME is very faint and difficult to measure.,,
2015-01-15 04:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with a filament eruption observed in SDO 304 around  04UT.  Parameters are very preliminary due to data gaps in SOHO LASCO imagery.,,
2015-01-15 15:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with a NE eruption visible on SDO 304 and 193 around 15UT.  Loops seem like moving northward of the source region.,30.0,10.0
2015-01-16 05:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME could be associated with an eruption visible near AR 2260 around 04:55Z.  CME is narrow and measurements are preliminary.,9.0,-81.0
2015-01-17 10:36:00,12259.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Eruption observed in SDO AIA 193/304 around 2015-01-17T07:33Z.,-17.0,-41.0
2015-01-19 08:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,CME associated with an eruption observed in SDO 193 on the NE limb around 07:00Z.,,
2015-01-20 02:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,A CME apparently took place between STEREO EUVI images (2015-01-19T15:20 and 2015-01-20T04:30) from an active region located at N10W130.  Almost all of the dimming signature was to the north of the active region.  Off-limb activity (large rising bright feature) seen in AIA 193 images starting at 02:30 UT - same latitude over west limb.,10.0,-130.0
2015-01-20 12:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"There were rising loops observed over the north pole of the Sun after 11:00 UT.  The CME had an earlier ""weak"" stage starting around 10:30 and a later stronger one - not clear if it's two separate CMEs or the same one.",,
2015-01-21 00:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"source seems to be behind the E limb, there are a series of mid C-class flares later on the 21.Jan from the E limb (partially occulted, source might be the same)",,
2015-01-21 19:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME may be associated with filament eruption at the NE (close to the center of the disk) around 04UT.  Most of the material seems to have been absorbed.  This CME is very faint and non-uniform which make these parameters very preliminary.,,
2015-01-23 19:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",0,0,,,
2015-01-24 08:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,We were unable to locate a source region for this CME.,,
2015-01-24 15:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,Slow CME.  Start time is not exactly correct because CME appears in coronagraph for a while before it actually seems to lift off.  Source could be a SE eruption visible in SDO 193.  Footprints can be seen in SDO 304.  The eruption starts around 13UT.,,
2015-01-25 13:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Likely a backsided, high latitude CME.Some change in the imagery is seen in STA EUVI imagery at 20:25",,
2015-01-25 16:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,The start time is an approximation. Difficulty identifying source location. Possibly from some activity seen in SDO 193 just East of AR 2268.,,
2015-01-26 02:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,CME appears to be backsided and it could be associated with backsided CME from the previous day.,,
2015-01-26 04:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,CME appears to be coming from the E limb.  Could be a second ejecta from yesterday's CME.,,
2015-01-26 06:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"Very gradual CME, not clear what the source region is.  Located directly over a filament  channel near the NE limb, but it's not clear whether it's related.",,
2015-01-28 22:30:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME start time is not correct due to data gaps in the LASCO C2 data  Start time was picked using LASCO C3 imagery. No source could be found due to a data gap in SDO AIA imagery by the maneuvers that were scheduled.,,
2015-01-28 23:06:00,12277.0,['SOHO: LASCO/C3'],1,0,CME could be associated with a C1.7 class flare that started around 23:32Z hence the start time is not correct since the CME could not be identify in LASCO C2 due to a data gap.,,
2015-01-29 09:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME may be associated with filament eruption seen on the backside close to the limb starting around 08:06Z.,,
2015-01-31 11:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,The source appears to be a large eruption visible in 304 and 193 starting around 08:45Z,-15.0,-10.0
2015-02-01 14:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Likely source is filament/prominence eruption seen in NE limb in SDO 193 and 304 around 09:00.  It is also seen in STA EUVI.,10.0,89.0
2015-02-02 10:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,this very faint CME might be connected with the filament activity in the NW after 5:00. The filament might have lifted off around 7:30.,,
2015-02-03 03:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"Small brightening and apparent eruption observed in AIA 193 from a region in the NE, starting around 03:00 UT.",45.0,-30.0
2015-02-03 12:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Small prominence eruption observed starting at 11:55 UT in AIA 193 images located at 15N40E.,15.0,40.0
2015-02-03 13:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"No clear source, but the AR complex near the W limb is a likely candidate.",,
2015-02-04 05:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-02-04 20:48:00,,['SOHO: LASCO/C2'],1,0,filament eruption at NE limb,,
2015-02-05 14:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with backside eruption visible in STA EUVI around 13:35Z.,,
2015-02-06 04:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Source could not be identified.  Could possibly be from the same backsided source that had the eruption yesterday.  CME is very faint and narrow.  The measurements are POS measurements.,,
2015-02-07 17:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Eruption can be seen in SDO AIA 193 off of the east limb.,,
2015-02-08 08:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Unable to locate a source.,,
2015-02-09 02:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with eruption visible in SDO 304 around 2015-02-08T22:16Z near AR 2282.,,
2015-02-09 06:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with a small eruption observed in the SE on SDO 304 around 06UT.,,
2015-02-09 23:24:00,12282.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"Large M2.4 flare from AR2282 in the NE, rising loops, dimming and wave observed in AIA 193 images starting before 23:00.",12.0,61.0
2015-02-10 08:24:00,12282.0,['SOHO: LASCO/C2'],1,0,A rapid outflow/spurt/field line opening from the Eastern edge of AR2282 observed in AIA 193 images starting before 08:00 UT.,10.0,65.0
2015-02-11 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"CME was very difficult to measure.  Source is believed to be close east of AR 2282, but it is not completely certain.",,
2015-02-13 04:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"No corresponding front sided activity is seen in AIA 304/194 imagery. There is some opening/closing of field lines seen after 04:00 in AIA 194 in the southeast, so this must be a backsided CME from behind the SE limb.",,
2015-02-13 23:06:00,,"['SOHO: LASCO/C3', 'SOHO: LASCO/C2']",1,0,CME appears to be back-sided. Source location could not be located.,,
2015-02-14 11:18:00,,['SOHO: LASCO/C3'],1,0,,,
2015-02-15 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Faint and Small off E limb
No source has been seen",,
2015-02-15 06:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Filament eruption seen in SDO 193A, starting ~03:00 near NE limb, post-eruptive loop  form north of AR 12284, no filament seen in 304A, but post-eruptive loop footpoints are seen",,
2015-02-16 07:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,This is a very slow CME. The source was not found and was assumed to be behind the NE rim of the sun (there are some opening-closing field lines seen in AIA 194 around noon).,,
2015-02-18 00:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,Source can be clearly seen in STA EUVI 195 around 20 UT.,,
2015-02-18 09:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME could be associated with some very faint darkening observed in SDO 193 around an area where some B-class flares have developed (N14E31).,14.0,31.0
2015-02-19 06:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME may be associated to a darkening and some activity visible in SDO 193 on the East limb south of AR 2289.  There is also some following activity near AR 2290.  Nothing predominant could be observed in SDO 304 so the source is not 100% accurate.,,
2015-02-20 04:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"The source may be incorrect - there are opening field lines off the SW limb observed in AIA 193 images at about the right time, but the CME is very gradual and an explicit start time is difficult to pin down.",-45.0,-90.0
2015-02-20 09:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"Filament eruption was observed in AIA 193 starting around 04:30UT centered around S25E10.  Dimmings, two-ribbon flare, but the affected area was quite compact.",-25.0,10.0
2015-02-21 00:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-02-21 09:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Eruption observed off of the western limb in SDO AIA 193/304 around 2015-02-21T09:25Z.  Large filament eruption footprints can be seen in STA EUVI.,,
2015-02-21 22:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-02-22 20:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"Source seen in STA EUVI around 21:00Z. Narrow CME but somewhat quick.

There appears to be some activiiy located behind the western limb starting around 16:30Z. Also seen around 19:00 -20:00UT, some opening field lines just behind the limb. This may also be from this CME?",-10.0,-155.0
2015-02-24 03:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Close nearside south/west limb activity visible in AIA 304 at 2015-02-24T02:54,,
2015-02-24 06:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-02-24 10:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"A nice eruption from southeast limb of SDO images.

http://sdowww.lmsal.com/sdomedia/ssw/media/ssw/ssw_client/data/ssw_service_150224_054144_80835_1/www/",,
2015-02-24 14:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-02-25 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,filament eruption between AR12291 and 12287,18.0,-55.0
2015-02-26 15:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME is very slow and faint.  Measurements are very preliminary using SWPC_Cat.  Source could not be identified.,,
2015-02-27 06:36:00,12289.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME is somewhat faint and difficult to measure.  It is associated with a small eruption observed in SDO 193 around 06:16Z from AR 2289.,,
2015-02-27 17:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with eruption visible in SDO 193 and 403 from AR 2287 around 17UT.,,
2015-02-27 18:00:00,12287.0,['SOHO: LASCO/C2'],1,0,could be associated with an eruption visible in SDO 304 and 193 from AR 2287 around 17UT.,,
2015-02-28 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Source is an eruptive prominence starting 2015-02-27T23:04Z,22.0,-77.0
2015-02-28 03:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Filament eruption starting 02:25Z appears to be the source.,20.0,70.0
2015-02-28 04:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,post eruption signatures visible in EUVIA at around S15W15.,,
2015-02-28 15:12:00,,['SOHO: LASCO/C2'],1,0,Related the on disk activity at around ~1700,16.0,-6.0
2015-02-28 21:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Halo CME,,
2015-03-01 02:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Backsided. From the same AR that can be seen in STA EUVI images that has been producing CMEs all day.,,
2015-03-01 07:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"Slight opening field lines seen in STA EUVI along limb post data gap.
SDO 304 shows filament eruption close to W limb ~06:20.",5.0,-90.0
2015-03-01 12:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,CME is a halo that could be from the same source region as previous halo CME (2015-02-28T21:48Z).,,
2015-03-01 17:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,C6 flare location was used as our source location.,22.0,-86.0
2015-03-01 22:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Possibly the source region could be AR 2290.,,
2015-03-02 06:24:00,12290.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME may be associated with M1.0 class flare that peaked around 06:39Z from AR 2290.,22.0,-86.0
2015-03-02 15:56:00,12290.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME associated with M3.7 class flare,42.0,-86.0
2015-03-03 03:18:00,12290.0,"['SOHO: LASCO/C3', 'SOHO: LASCO/C2']",1,0,M8.2 flare and large off-limb dimming and big wave starting at 01:30 UT,20.0,-86.0
2015-03-03 15:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"Dimming, plus bright material was observed lifting off the SW limb of the Sun in AIA 193Å starting around 15:27 UT.",-20.0,-100.0
2015-03-03 21:11:00,,['SOHO: LASCO/C3'],1,0,Associated with an eruption visible in SDO around 20:36Z off the NW limb,30.0,90.0
2015-03-03 23:06:00,,['SOHO: LASCO/C3'],1,0,"unknown source, could be near east limb",,
2015-03-05 20:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Eruption observed in SDO data around 2015-03-05T19:30Z off of the eastern limb.,,
2015-03-06 04:49:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"Associated with M3 flare.  Rising loops starting before 03:50 UT off SE limb in AIA 193 images.  Then sudden expansion, dimming & flare.
Leila: Extended eruption above/just behind limb. This following CME at 7:12Z interacts with this CME in the C3/C3 FOV.",-20.0,90.0
2015-03-06 07:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"Assumed to be associated with M1.5 flare, though most eruption happened while SDO was in eclipse.  
Leila: SWAP data is available and eruption is visible above limb, in a fan that formed following the previous CME at 04:49.  This CME interacts with the previous CME in the C2/C3 FOV.",-20.0,90.0
2015-03-06 23:06:00,,"['SOHO: LASCO/C3', 'SOHO: LASCO/C2']",1,0,"source region of this CME is unknown, it might be just an additional outflow from CME earlier today, starting time is late due to data gap in LASCO, tiny hits of off-limb eruption in SDO 193 at ~22.00 (at E limb).",,
2015-03-07 22:24:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Associated with the M9.2 flare from earlier today. An eruption and opening field lines are also visible in SDO 193 starting around 21:47Z,-20.0,78.0
2015-03-10 00:00:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,eruption visible in AIA during flare from 2297,-17.0,39.0
2015-03-10 03:36:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"There was a compact flare observed at 03:20UT from the NW portion of AR 2297, also a wave.",-15.0,39.0
2015-03-10 04:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"No obvious solar source.  This is a very faint loop to the north that is hard to distinguish in LASCO C2, but in LASCO C3 it has a more distinct loop structure.",,
2015-03-11 00:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,No clear source in AIA images.,,
2015-03-11 10:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"The event is associated with a filament eruption in the north-west quadrant at about 2015-03-11T06:30Z.
(SOHO DG between 07:00-10:24)",,
2015-03-11 17:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"Small filament eruption and off-limb dimming observed near small AR in AIA 193 images starting around 16:25 UT.   May be associated with X2 flare - tough to tell. This CME is very similar to the 2015-03-11T00:24Z and 2015-03-12T03:12Z CMEs, which looked like they originated from the AR near the E limb.",-7.0,80.0
2015-03-11 18:00:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,,-11.0,-32.0
2015-03-11 19:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"CME is very high latitude and source could not be located on the Earth's facing side.  Hence, CME may be back-sided.  VERY SLOW",,
2015-03-11 22:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"CME may be back-sided.  Source could not be located.  

VERY SLOW",,
2015-03-12 00:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"No clear source, this CME is very gradual so it's not clear whether it's front-sided or back-sided.",,
2015-03-12 03:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3', 'STEREO A: SECCHI/COR2']",1,0,"There was a small active region near the E limb, nice flare, dimming and wave starting at 02:13UT.",-7.0,80.0
2015-03-14 17:06:00,12297.0,"['SOHO: LASCO/C3', 'SOHO: LASCO/C2']",1,0,"probably connected to a C2.6 flare in AR 12297 with peak GOES x-ray emission at 11.55, some dimming is visible in 193 and part of a filament in the western part of the AR is erupting",-19.0,-20.0
2015-03-15 02:00:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,"This CME is connected to the long duration C9.1 flare with start at 01:15 and peak at 02:13, flare is centered in AR 2297, large part of the filament W of AR is also erupting, bright post-flare arcade later in AR 2297",-15.0,-24.0
2015-03-15 08:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Source is a small rising and opening loop visible in SDO 304 imagery starting 07:30Z,-5.0,95.0
2015-03-18 00:12:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Associated with a flare and eruption visible in 304/193 starting 2015-03-17T23:30Z,-17.0,-64.0
2015-03-18 15:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME could be associated with a small eruption visible in SDO 193 starting around 14UT.,,
2015-03-18 21:42:00,,['SOHO: LASCO/C3'],1,0,CME could be associated with some eruptions visible on the East limb in SDO AIA 193.,,
2015-03-20 02:00:00,12297.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Source location supported by opening-closing field lines in AIA  193 after 1:30. the CME is associated with a very long duration C7.9 flare from AR2297 at W limb at 01:3. CME seems to have a higher latitude than the flare.,-17.0,-87.0
2015-03-20 18:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Associated with a small eruption visible in SDO 193 imagery starting around 18:20Z,-24.0,-73.0
2015-03-21 07:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,,,
2015-03-22 11:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Seems to be very slow and started potentially long before as an even slower buildup in C2. Unclear for the source as well,,
2015-03-22 19:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Associated with filament eruption seen in AIA 304 after 2015-03-22T16:30Z. There is some associated darkening in AIA 193. Dim CME with unpronounced front in C2 and C3 coronagraph.,15.0,-30.0
2015-03-23 18:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"CME was off the SE limb, and there was filament activity and possible eruption most visible in AIA 193 starting around 17:00 UT.",-26.0,43.0
2015-03-24 08:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"This CME came from behind the West limb -  a large dimming and outflows are observable from AIA 193 images starting around 08:00Z, where the (former) AR 2297 is located.",,
2015-03-27 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME may be associated with a small eruption seen in SDO 193 from the West limb. The start time may not be correct due that the CME is very faint and a data gap in LASCO C2.  Measurements are very preliminary using STEREO_Cat.  SWPC_Cat couldn't be used due to the CME being so faint.,,
2015-03-27 14:12:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,CME observed in SDO AIA 193/304 after 11:30UT off of the eastern limb.,10.0,90.0
2015-03-27 19:00:00,,['SOHO: LASCO/C3'],1,0,CME may be associated with a darkening observed in SDO 193 NE of the southern coronal hole.  There seem to be a little bit of reconstruction happening.   CME was very faint and could only be measured using STEREO_Cat with POS approximations.,,
2015-03-28 18:04:00,12314.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Eruption observed in SDO AIA 193/304 around 2015-03-28T15:48Z.,,
2015-03-29 00:00:00,12309.0,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,Very slow continuous outflow. Start time is somewhat arbitrary...,,
2015-03-29 18:36:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,1,Seems to be backsided,,
2015-03-31 06:24:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"CME may be associated with a darkening region seen in SDO 193 on the NE side.  Speed may be overestimated since the CME is too faint and narrow, and the images measured are a little close to the solar surface.",,
2015-04-02 00:00:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,source (indicated by opening field lines and posteruptive loops) behind the west limb,,
2015-04-02 05:48:00,,"['SOHO: LASCO/C2', 'SOHO: LASCO/C3']",1,0,"source is located behind the W limb, eruption seen in AIA 193 starting at ~05:25, opening of off-limb corona + post-eruptive looks visible above the limb.",,
